"sample_id","sample_date","division","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2020-01-07,"Cyanobacteria",133.0348,0.00010786,1,2020
"SSB",2020-01-07,"Chrysophyta",23860.0916,0.01934565,1,2020
"SSB",2020-01-07,"Chlorophyta",107713.5591,0.08733365,1,2020
"SSB",2020-01-07,"Chlorophyta",798206.8535,0.64718238,1,2020
"SSB",2020-01-07,"Chlorophyta",5986.5528,0.00485387,1,2020
"SSB",2020-01-07,"Chlorophyta",1197.3131,0.00097078,1,2020
"SSB",2020-01-07,"Chlorophyta",8314.6488,0.00674148,1,2020
"SSB",2020-01-07,"Cryptophyta",5653.7192,0.00458401,1,2020
"SSB",2020-01-07,"Cyanobacteria",141650.588,0.11484963,1,2020
"SSB",2020-01-07,"Cyanobacteria",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Cyanobacteria",56.1225,4.55e-05,1,2020
"SSB",2020-01-07,"Cyanobacteria",92292.8841,0.07483064,1,2020
"SSB",2020-01-07,"Cyanobacteria",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Pyrrhophyta",19156.965,0.01553238,1,2020
"SSB",2020-01-07,"Miscellaneous",25542.6221,0.02070984,1,2020
"SSB",2020-01-31,"Chrysophyta",36491.9047,0.03119416,1,2020
"SSB",2020-01-31,"Chlorophyta",120192.1796,0.10274318,1,2020
"SSB",2020-01-31,"Chlorophyta",727070.6611,0.62151757,1,2020
"SSB",2020-01-31,"Chlorophyta",8514.2074,0.00727815,1,2020
"SSB",2020-01-31,"Chlorophyta",2527.6546,0.0021607,1,2020
"SSB",2020-01-31,"Chlorophyta",13192.5868,0.01127734,1,2020
"SSB",2020-01-31,"Cryptophyta",3083.8468,0.00263615,1,2020
"SSB",2020-01-31,"Cyanobacteria",115615.323,0.09883077,1,2020
"SSB",2020-01-31,"Cyanobacteria",354.7594,0.00030326,1,2020
"SSB",2020-01-31,"Cyanobacteria",74.83,6.397e-05,1,2020
"SSB",2020-01-31,"Cyanobacteria",20842.6143,0.01781677,1,2020
"SSB",2020-01-31,"Euglenophyta",101815.7163,0.08703453,1,2020
"SSB",2020-01-31,"Pyrrhophyta",12771.31,0.01091722,1,2020
"SSB",2020-01-31,"Chlorophyta",7283.6356,0.00622623,1,2020
"SSB",2020-02-14,"Chrysophyta",137520.9326,0.04458647,2,2020
"SSB",2020-02-14,"Chlorophyta",499619.3871,0.16198454,2,2020
"SSB",2020-02-14,"Chlorophyta",2322994.876,0.75315181,2,2020
"SSB",2020-02-14,"Chlorophyta",319.2818,0.00010352,2,2020
"SSB",2020-02-14,"Cryptophyta",1027.9489,0.00033328,2,2020
"SSB",2020-02-14,"Cyanobacteria",92295.8536,0.02992378,2,2020
"SSB",2020-02-14,"Cyanobacteria",798.2066,0.00025879,2,2020
"SSB",2020-02-14,"Cyanobacteria",15908.3093,0.00515773,2,2020
"SSB",2020-02-14,"Cyanobacteria",2305.9363,0.00074762,2,2020
"SSB",2020-02-14,"Euglenophyta",11574.0011,0.00375247,2,2020
"SSB",2020-03-06,"Cyanobacteria",36.0303,2.262e-05,3,2020
"SSB",2020-03-06,"Chrysophyta",14190.3435,0.00891034,3,2020
"SSB",2020-03-06,"Chlorophyta",178267.9846,0.11193731,3,2020
"SSB",2020-03-06,"Chlorophyta",1321608.843,0.82985929,3,2020
"SSB",2020-03-06,"Chlorophyta",1257.1737,0.0007894,3,2020
"SSB",2020-03-06,"Cyanobacteria",38248.4564,0.02401682,3,2020
"SSB",2020-03-06,"Cyanobacteria",177.3797,0.00011138,3,2020
"SSB",2020-03-06,"Cyanobacteria",310.4145,0.00019491,3,2020
"SSB",2020-03-06,"Cyanobacteria",487.7921,0.00030629,3,2020
"SSB",2020-03-06,"Cyanobacteria",17460.8159,0.01096393,3,2020
"SSB",2020-03-06,"Euglenophyta",11574.0011,0.0072675,3,2020
"SSB",2020-03-06,"Chlorophyta",8950.5616,0.0056202,3,2020
"SSB",2020-05-05,"Cyanobacteria",399.1044,2.812e-05,5,2020
"SSB",2020-05-05,"Chlorophyta",498.8805,3.516e-05,5,2020
"SSB",2020-05-05,"Pyrrhophyta",12849.3617,0.00090548,5,2020
"SSB",2020-05-05,"Bacillariophyta",508.8713,3.586e-05,5,2020
"SSB",2020-05-05,"Bacillariophyta",1445.5532,0.00010187,5,2020
"SSB",2020-05-05,"Chrysophyta",96539.5187,0.00680304,5,2020
"SSB",2020-05-05,"Chrysophyta",13029.3994,0.00091817,5,2020
"SSB",2020-05-05,"Haptophyta",640.34,4.512e-05,5,2020
"SSB",2020-05-05,"Chlorophyta",217280.2975,0.01531152,5,2020
"SSB",2020-05-05,"Chlorophyta",13609568.83,0.95905258,5,2020
"SSB",2020-05-05,"Chlorophyta",6784.7742,0.00047812,5,2020
"SSB",2020-05-05,"Chlorophyta",1008.8429,7.109e-05,5,2020
"SSB",2020-05-05,"Cryptophyta",45143.0322,0.00318118,5,2020
"SSB",2020-05-05,"Cryptophyta",709.5168,5e-05,5,2020
"SSB",2020-05-05,"Cyanobacteria",119139.9033,0.00839567,5,2020
"SSB",2020-05-05,"Cyanobacteria",88.6899,6.25e-06,5,2020
"SSB",2020-05-05,"Cyanobacteria",20370.9519,0.00143552,5,2020
"SSB",2020-05-05,"Cyanobacteria",3492.1632,0.00024609,5,2020
"SSB",2020-05-05,"Euglenophyta",22449.5675,0.001582,5,2020
"SSB",2020-05-05,"Miscellaneous",17028.4147,0.00119998,5,2020
"SSB",2020-05-05,"Chlorophyta",1662.9306,0.00011719,5,2020
