"sample_id","sample_date","division","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2019-01-08,"Chlorophyta",897.9848,0.00046322,1,2019
"SSB",2019-01-08,"Chrysophyta",57630.6015,0.02972817,1,2019
"SSB",2019-01-08,"Chlorophyta",43148.7765,0.02225787,1,2019
"SSB",2019-01-08,"Chlorophyta",1174637.245,0.60592489,1,2019
"SSB",2019-01-08,"Chlorophyta",598.6565,0.00030881,1,2019
"SSB",2019-01-08,"Chlorophyta",4714.4108,0.00243188,1,2019
"SSB",2019-01-08,"Cryptophyta",114719.1008,0.0591767,1,2019
"SSB",2019-01-08,"Cyanobacteria",55254.0497,0.02850225,1,2019
"SSB",2019-01-08,"Cyanobacteria",1795.9665,0.00092643,1,2019
"SSB",2019-01-08,"Cyanobacteria",56.1225,2.895e-05,1,2019
"SSB",2019-01-08,"Cyanobacteria",478925.2364,0.2470488,1,2019
"SSB",2019-01-08,"Pyrrhophyta",5321.3788,0.00274498,1,2019
"SSB",2019-01-08,"Miscellaneous",886.0495,0.00045706,1,2019
"SSB",2019-02-16,"Chrysophyta",88894.5939,0.29438168,2,2019
"SSB",2019-02-16,"Haptophyta",853.7867,0.00282738,2,2019
"SSB",2019-02-16,"Chlorophyta",11529.659,0.0381814,2,2019
"SSB",2019-02-16,"Chlorophyta",463.5976,0.00153524,2,2019
"SSB",2019-02-16,"Chlorophyta",16363.245,0.05418822,2,2019
"SSB",2019-02-16,"Cryptophyta",13877.3106,0.04595584,2,2019
"SSB",2019-02-16,"Cryptophyta",1892.0447,0.00626566,2,2019
"SSB",2019-02-16,"Cyanobacteria",56855.5773,0.18828187,2,2019
"SSB",2019-02-16,"Cyanobacteria",946.0252,0.00313284,2,2019
"SSB",2019-02-16,"Cyanobacteria",108645.0768,0.35978701,2,2019
"SSB",2019-02-16,"Cyanobacteria",1649.6212,0.00546285,2,2019
"SSB",2019-03-09,"Chrysophyta",114127.5426,0.25316146,3,2019
"SSB",2019-03-09,"Chlorophyta",3831.3922,0.00849892,3,2019
"SSB",2019-03-09,"Chlorophyta",8845.0433,0.01962037,3,2019
"SSB",2019-03-09,"Chlorophyta",252233.3671,0.55951233,3,2019
"SSB",2019-03-09,"Cryptophyta",9936.8397,0.02204222,3,2019
"SSB",2019-03-09,"Cyanobacteria",26630.79,0.05907329,3,2019
"SSB",2019-03-09,"Cyanobacteria",34505.8981,0.07654212,3,2019
"SSB",2019-03-09,"Cyanobacteria",698.4326,0.00154929,3,2019
"SSB",2019-04-30,"Chlorophyta",798.2087,0.00018014,4,2019
"SSB",2019-04-30,"Bacillariophyta",300827.3278,0.0678916,4,2019
"SSB",2019-04-30,"Chrysophyta",158832.8655,0.03584587,4,2019
"SSB",2019-04-30,"Chrysophyta",53090.8063,0.01198169,4,2019
"SSB",2019-04-30,"Chlorophyta",62006.7343,0.01399386,4,2019
"SSB",2019-04-30,"Chlorophyta",3312579.554,0.74759271,4,2019
"SSB",2019-04-30,"Chlorophyta",2483.3047,0.00056044,4,2019
"SSB",2019-04-30,"Chlorophyta",443448.2569,0.10007871,4,2019
"SSB",2019-04-30,"Cryptophyta",9460.229,0.00213501,4,2019
"SSB",2019-04-30,"Cryptophyta",946.0223,0.0002135,4,2019
"SSB",2019-04-30,"Cyanobacteria",2594.1727,0.00058546,4,2019
"SSB",2019-04-30,"Cyanobacteria",2508.656,0.00056616,4,2019
"SSB",2019-04-30,"Cyanobacteria",66814.6218,0.01507892,4,2019
"SSB",2019-04-30,"Miscellaneous",12771.3114,0.00288227,4,2019
"SSB",2019-04-30,"Chlorophyta",1832.9492,0.00041367,4,2019
