tracking_id,customer_id,job_id,sample_id,system_name,site,station,sample_date,receive_date,calculation_type,level_,replicate_,depth,fraction,biovolume,taxa_level,report_note,taxa_id,custom_taxa_id,organism,habitat,phylum,division,class_,subclass_,order_,suborder,family,subfamily,tribe,genus,subgenus,species,subspecies,variety,form_,morph,coloniality,structure_,customer_requested_units,concentration_natural_units_per_ml_,relative_concentration,total_area_square_um_per_ml_,relative_total_area,total_volume_cubic_um_per_ml_,relative_total_volume,total_biovolume_cubic_um_per_ml_,relative_total_biovolume,total_biomass_per_ml_,relative_total_biomass,algal_cell_concentration_per_ml_,relative_algal_cell_concentration,algal_biomass_concentration_mg_per_l_,relative_algal_biomass_concentration,alternate_taxa_name,job_tally_notes
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1000538,.,Algae,Freshwater,,Chlorophyta,Prasinophyceae,,Prasinocladales,,Pedinomonadaceae,,,Monomastix,,minuta,,,,,Cell-Motile,Vegetative,NU/ml,63.5193,0.0007954,2267.9941,0.00059344,897.9848,0.00007501,897.9848,0.00046322,0,0,63.5193,0.00057127,0.00089798,0.00046321,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1652,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Motile,Vegetative,NU/ml,1905.5785,0.02386203,89494.542,0.02341685,57630.6015,0.00481384,57630.6015,0.02972817,0,0,1905.5785,0.01713819,0.0576306,0.02972817,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2080,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlamydomonas,,,,,,,Cell-Motile,Vegetative,NU/ml,254.0771,0.0031816,36076.9714,0.00943978,43148.7765,0.00360418,43148.7765,0.02225787,0,0,254.0771,0.00228509,0.04314878,0.02225787,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2110,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlorogonium,,,,,,,Cell-Nonmotile,Vegetative,NU/ml,66.4638,0.00083227,290055.6185,0.07589501,1174637.245,0.09811656,1174637.245,0.60592489,0,0,66.4638,0.00059775,1.17463725,0.60592488,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2491,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Chlorococcaceae,,,Schroederia,,judayi,,,,,Cell-Nonmotile,Vegetative,NU/ml,31.7596,0.0003977,1496.6382,0.00039161,598.6565,0.00005001,598.6565,0.00030881,0,0,31.7596,0.00028564,0.00059866,0.00030881,Ankyra judayi,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2683,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Chlorococcaceae,,,,,,,,,2-9.9 um spherical,Cell-Nonmotile,Vegetative,NU/ml,95.2789,0.0011931,6136.2105,0.00160558,4714.4108,0.00039379,4714.4108,0.00243188,0,0,95.2789,0.00085691,0.00471441,0.00243188,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3015,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Cryptomonas,,erosa,,,,,Cell-Motile,Vegetative,NU/ml,11.5033,0.00014405,31838.4962,0.00833076,114719.1008,0.0095824,114719.1008,0.0591767,0,0,11.5033,0.00010346,0.1147191,0.0591767,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4051,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanocapsa,,elachista,,,,,Colonial-Nonmotile,Vegetative,NU/ml,1048.0682,0.01312412,1908993.833,0.49950109,9036659.556,0.75482536,55254.0497,0.02850225,0,0,31267.3325,0.28120877,0.05525405,0.02850225,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4062,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanothece,,nidulans,,,,,Colonial-Nonmotile,Vegetative,NU/ml,31.7596,0.0003977,158578.6931,0.04149318,1053659.664,0.0880114,1795.9665,0.00092643,0,0,1143.3471,0.01028291,0.00179597,0.00092643,Aphanothece smithii,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4285,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Synechocystis,,,,,,>1 um spherical,Cell-Nonmotile,Vegetative,NU/ml,31.7596,0.0003977,224.4962,0.00005874,56.1225,0.00000469,56.1225,0.00002895,0,0,31.7596,0.00028564,0.00005612,0.00002895,,
