tracking_id,customer_id,job_id,sample_id,system_name,site,station,sample_date,replicate,richness,maximum_diversity,shannon_diversity_standard_algal_concentration,shannon_diversity_standard_algal_cell_concentration,shannon_diversity_standard_algal_total_area,shannon_diversity_standard_algal_total_volume,shannon_diversity_standard_algal_total_biovolume,shannon_diversity_standard_algal_biomass_concentration,shannon_diversity_standard_animal_biomass_concentration,shannon_diversity_small_sample_algal_concentration,shannon_diversity_small_sample_algal_cell_concentration,shannon_diversity_small_sample_algal_total_area,shannon_diversity_small_sample_algal_total_volume,shannon_diversity_small_sample_algal_total_biovolume,shannon_diversity_small_sample_algal_biomass_concentration,shannon_diversity_small_sample_animal_biomass_concentration,mcintosh_u_algal_concentration,mcintosh_u_algal_cell_concentration,mcintosh_u_algal_total_area,mcintosh_u_algal_total_volume,mcintosh_u_algal_total_biovolume,mcintosh_u_algal_biomass_concentration,mcintosh_u_animal_biomass_concentration,eveness_based_shannon_standard_algal_concentration,eveness_based_shannon_standard_algal_cell_concentration,eveness_based_shannon_standard_algal_total_area,eveness_based_shannon_standard_algal_total_volume,eveness_based_shannon_standard_algal_total_biovolume,eveness_based_shannon_standard_algal_biomass_concentration,eveness_based_shannon_standard_animal_biomass_concentration,eveness_based_shannon_small_sample_algal_concentration,eveness_based_shannon_small_sample_algal_cell_concentration,eveness_based_shannon_small_sample_algal_total_area,eveness_based_shannon_small_sample_algal_total_volume,eveness_based_shannon_small_sample_algal_total_biovolume,eveness_based_shannon_small_sample_algal_biomass_concentration,eveness_based_shannon_small_sample_animal_biomass_concentration,variation_based_shannon_standard_algal_concentration,variation_based_shannon_standard_algal_cell_concentration,variation_based_shannon_standard_algal_total_area,variation_based_shannon_standard_algal_total_volume,variation_based_shannon_standard_algal_total_biovolume,variation_based_shannon_standard_algal_biomass_concentration,variation_based_shannon_standard_animal_biomass_concentration,berger_parker_algal_concentration,berger_parker_algal_cell_concentration,berger_parker_algal_total_area,berger_parker_algal_total_volume,berger_parker_algal_total_biovolume,berger_parker_algal_biomass_concentration,berger_parker_animal_biomass_concentration,margalef_diversity_algal_concentration,margalef_diversity_algal_cell_concentration,margalef_diversity_algal_total_area,margalef_diversity_algal_total_volume,margalef_diversity_algal_total_biovolume,margalef_diversity_algal_biomass_concentration,margalef_diversity_animal_biomass_concentration,simpson_diversity_algal_concentration,simpson_diversity_algal_cell_concentration,simpson_diversity_algal_total_area,simpson_diversity_algal_total_volume,simpson_diversity_algal_total_biovolume,simpson_diversity_algal_biomass_concentration,simpson_diversity_animal_biomass_concentration,eveness_based_simpsons_diversity_algal_concentration,eveness_based_simpsons_diversity_algal_cell_concentration,eveness_based_simpsons_diversity_algal_total_area,eveness_based_simpsons_diversity_algal_total_volume,eveness_based_simpsons_diversity_algal_total_biovolume,eveness_based_simpsons_diversity_algal_biomass_concentration,eveness_based_simpsons_diversity_animal_biomass_concentration,palmer_water_quality_index_based_on_algae,alpha_algal_concentration,alpha_algal_cell_concentration,alpha_algal_total_area,alpha_algal_total_volume,alpha_algal_total_biovolume,alpha_algal_biomass_concentration,alpha_animal_biomass_concentration
200035-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,,13,2.5649,0.2478,0.7732,1.2439,0.8817,1.1541,1.1541,0,0.2475,0.773,1.2439,0.8817,1.1541,1.1541,0,5814787111,6792640980,5.4269E+12,8.4399E+13,1.63059E+12,1.63059E+12,0,0.0966,0.3015,0.485,0.3438,0.4499,0.4499,0,0.076,0.2373,0.3818,0.2706,0.3542,0.3542,0,0.9724,1.3388,2.5063,2.0507,2.465,2.3265,0,1.0477,1.4587,2.002,1.3248,1.6504,1.6504,0,1.0631,1.0328,0.7918,0.7363,0.8289,0.8289,0,1.0967,1.8201,2.6914,1.6982,2.3048,2.3048,0,0.0844,0.14,0.207,0.1306,0.1773,0.1773,0,4,1.1677,1.1308,0.8487,0.7861,0.8909,0.8909,0
200036-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,,11,2.3979,0.2071,0.7101,0.5066,0.0852,1.5712,1.5712,0,0.2069,0.71,0.5066,0.0852,1.5712,1.5712,0,10769850043,11804950836,2.65502E+13,1.22427E+15,23539966702,23539967176,0,0.0864,0.2961,0.2113,0.0355,0.6553,0.6553,0,0.0669,0.2297,0.1639,0.0276,0.5083,0.5083,0,0.8264,1.3247,1.3559,0.431,3.2203,1.807,0,1.0387,1.3514,1.148,1.0127,2.7794,2.7794,0,0.863,0.8438,0.6416,0.5753,0.7925,0.7925,0,1.0782,1.6652,1.3017,1.0256,3.8737,3.8737,0,0.098,0.1514,0.1183,0.0932,0.3522,0.3522,0,4,0.9446,0.9219,0.6892,0.6146,0.8616,0.8616,0
200037-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/19,,7,1.9459,0.5312,1.0363,0.4949,0.0613,1.5813,1.5813,0,0.5309,1.0361,0.4949,0.0613,1.5813,1.5813,0,1156186648,1851105934,1.06462E+13,3.88019E+14,11167224594,11167226198,0,0.273,0.5326,0.2544,0.0315,0.8126,0.8126,0,0.2012,0.3926,0.1875,0.0232,0.5992,0.5992,0,1.4632,1.7153,1.3782,0.3263,2.9046,0.7824,0,1.1433,1.9635,1.1331,1.0087,3.0147,3.0147,0,0.5679,0.5403,0.3968,0.357,0.4881,0.4881,0,1.2976,2.3902,1.2742,1.0175,4.2572,4.2572,0,0.1854,0.3415,0.182,0.1454,0.6082,0.6082,0,4,0.6353,0.6029,0.4393,0.3944,0.5425,0.5425,0
200038-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,,8,2.0794,0.5432,0.9486,0.7203,0.2015,1.2483,1.2483,0,0.5427,0.9482,0.7203,0.2015,1.2482,1.2482,0,710916281,937419852,3.64469E+12,1.17479E+14,78738766387,78738767314,0,0.2612,0.4562,0.3464,0.0969,0.6003,0.6003,0,0.1957,0.342,0.2598,0.0727,0.4502,0.4502,0,1.1793,1.4124,1.7329,0.7524,2.5267,1.8438,0,1.188,1.7372,1.2343,1.0391,1.7873,1.7873,0,0.6762,0.6523,0.4774,0.4311,0.5377,0.5377,0,1.3795,2.237,1.496,1.0791,2.5811,2.5811,0,0.1724,0.2796,0.187,0.1349,0.3226,0.3226,0,4,0.7521,0.7236,0.5225,0.4712,0.5906,0.5906,0
200039-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,,15,2.7081,0.4607,0.7143,1.6793,1.4677,0.9751,0.9751,0,0.4602,0.7138,1.6793,1.4677,0.9751,0.9751,0,2303110830,2310403242,2.41961E+12,1.24937E+13,1.1297E+13,1.1297E+13,0,0.1701,0.2638,0.6201,0.542,0.3601,0.3601,0,0.1353,0.2099,0.4937,0.4315,0.2867,0.2867,0,1.52,2.1998,4.1038,3.432,2.5653,2.5295,0,1.1127,1.1912,1.9673,1.8031,1.3376,1.3376,0,1.2865,1.2784,0.9417,0.8973,0.9148,0.9148,0,1.2309,1.4062,3.3788,2.8555,1.738,1.738,0,0.0821,0.0937,0.2253,0.1904,0.1159,0.1159,0,4,1.4247,1.4146,1.0096,0.9585,0.9785,0.9785,0
200040-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,,15,2.7081,0.3502,0.8912,0.2936,0.0391,1.2698,1.2698,0,0.3498,0.891,0.2936,0.0391,1.2698,1.2698,0,4976493072,11401578130,3.57497E+14,7.88715E+16,6.79053E+11,6.79053E+11,0,0.1293,0.3291,0.1084,0.0144,0.4689,0.4689,0,0.1029,0.262,0.0863,0.0115,0.3733,0.3733,0,1.3923,1.5396,1.156,0.2332,3.1881,2.991,0,1.0676,1.9493,1.0565,1.0051,1.5452,1.5452,0,1.2468,1.1706,0.8329,0.7195,0.9982,0.9982,0,1.1385,2.1414,1.1151,1.0103,2.2401,2.2401,0,0.0759,0.1428,0.0743,0.0674,0.1493,0.1493,0,4,1.3748,1.2808,0.8856,0.7558,1.0751,1.0751,0
200041-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/31/20,,14,2.6391,1.0068,0.7063,0.5072,0.1968,1.3499,1.3499,0,1.0055,0.706,0.5072,0.1968,1.3498,1.3498,0,231443360,4507034741,3.16303E+13,8.38583E+14,5.69056E+11,5.69056E+11,0,0.3815,0.2676,0.1922,0.0746,0.5115,0.5115,0,0.3017,0.2119,0.1522,0.0591,0.4051,0.4051,0,2.5824,1.6011,1.7724,0.7955,3.3717,3.1459,0,1.3717,1.2835,1.1127,1.037,1.609,1.609,0,1.3096,1.1466,0.8308,0.7551,0.9304,0.9304,0,1.8114,1.5646,1.2344,1.0746,2.4049,2.4049,0,0.1294,0.1118,0.0882,0.0768,0.1718,0.1718,0,4,1.4669,1.2605,0.8882,0.802,1.0022,1.0022,0
200042-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/14/20,,10,2.3026,1.359,1.0742,1.0232,0.5289,0.8113,0.8113,0,1.3582,1.074,1.0232,0.5289,0.8113,0.8113,0,213324981,2939623747,1.48693E+13,3.60416E+14,5.67375E+12,5.67375E+12,0,0.5902,0.4665,0.4444,0.2297,0.3523,0.3523,0,0.4534,0.3585,0.3415,0.1765,0.2708,0.2708,0,2.5985,2.3824,2.1641,1.282,1.7437,1.6905,0,1.9407,1.4801,1.4695,1.1659,1.3278,1.3278,0,0.8878,0.7996,0.5802,0.5324,0.6023,0.6023,0,2.9936,2.0328,1.9989,1.3379,1.6767,1.6767,0,0.2994,0.2033,0.1999,0.1338,0.1677,0.1677,0,4,0.985,0.8783,0.6258,0.5726,0.6505,0.6505,0
200043-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/6/20,,12,2.4849,0.8423,1.0566,1.0878,0.6064,0.6569,0.6569,0,0.8407,1.056,1.0878,0.6064,0.6569,0.6569,0,127514546,595892516,3.39446E+12,1.06104E+14,1.78061E+12,1.78061E+12,0,0.339,0.4252,0.4378,0.244,0.2644,0.2644,0,0.2645,0.3323,0.3423,0.1908,0.2067,0.2067,0,2.1457,2.2154,2.7214,1.6566,1.735,1.6732,0,1.2943,1.6784,1.4442,1.1841,1.205,1.205,0,1.1489,1.0476,0.7451,0.6745,0.7703,0.7703,0,1.6233,2.2147,1.9633,1.3782,1.4244,1.4244,0,0.1353,0.1846,0.1636,0.1148,0.1187,0.1187,0,4,1.2873,1.1591,0.8006,0.7208,0.8295,0.8295,0
200044-062,062,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,5/5/20,,21,3.0445,1.2942,0.9305,0.9426,0.6759,0.2473,0.2473,0,1.2925,0.93,0.9426,0.6759,0.2473,0.2473,0,262237196,4806374049,4.60864E+13,1.48003E+15,1.85295E+14,1.85295E+14,0,0.4251,0.3056,0.3096,0.222,0.0812,0.0812,0,0.3458,0.2488,0.2522,0.1808,0.0662,0.0662,0,3.3381,2.3857,2.0599,1.0722,1.097,1.0963,0,1.5764,1.3631,1.5587,1.3969,1.0427,1.0427,0,1.9787,1.75,1.244,1.1279,1.2145,1.2145,0,2.2949,1.7572,1.9988,1.7069,1.0868,1.0868,0,0.1093,0.0837,0.0952,0.0813,0.0518,0.0518,0,5,2.2599,1.9517,1.3296,1.1966,1.296,1.296,0
