sample_id,sample_date,division,total_biovolume_cubic_um_per_ml_,relative_total_biovolume,month,year,,,,,,
TB,1/29/20,Chlorophyta,1396.8624,0.0054267,1,2020,,,,,,
TB,1/29/20,Chrysophyta,183.2949,0.00071209,1,2020,,,,,,
TB,1/29/20,Chrysophyta,6178.5766,0.0240033,1,2020,,,,,,
TB,1/29/20,Haptophyta,85.3787,0.00033169,1,2020,,,,,,
TB,1/29/20,Chlorophyta,7072.735,0.02747703,1,2020,,,,,,
TB,1/29/20,Chlorophyta,134.5124,0.00052257,1,2020,,,,,,
TB,1/29/20,Cryptophyta,210265.4289,0.81686508,1,2020,,,,,,
TB,1/29/20,Cryptophyta,266.069,0.00103366,1,2020,,,,,,
TB,1/29/20,Cryptophyta,378.4089,0.00147009,1,2020,,,,,,
TB,1/29/20,Cyanobacteria,219.5068,0.00085277,1,2020,,,,,,
TB,1/29/20,Cyanobacteria,23.6506,9.19E-05,1,2020,," 257,405.33 ",,,,
TB,1/29/20,Cyanobacteria,29.932,0.00011628,1,2020,,,,,,
TB,1/29/20,Cyanobacteria,620.8375,0.00241191,1,2020,,,,,,
TB,1/29/20,Euglenophyta,4635.5125,0.01800861,1,2020,,,,,,
TB,1/29/20,Pyrrhophyta,24123.5851,0.09371828,1,2020,,,,,,
TB,1/29/20,Pyrrhophyta,1702.8413,0.00661541,1,2020,,,,,,
TB,1/29/20,Chlorophyta,88.202,0.00034266,1,2020,,,,,,
TB,2/15/20,Chlorophyta,1044.6534,0.00696057,2,2020,,,,,,
TB,2/15/20,NA,14.3681,9.57E-05,2,2020,,,,,,
TB,2/15/20,Chrysophyta,664.1082,0.00442498,2,2020,,,,,,
TB,2/15/20,Chrysophyta,29750.8521,0.19823109,2,2020,," 150,081.66 ",,,,
TB,2/15/20,Chlorophyta,11921.0055,0.07943013,2,2020,,,,,,
TB,2/15/20,Chlorophyta,63.8567,0.00042548,2,2020,,,,,,
TB,2/15/20,Cryptophyta,92438.7386,0.61592294,2,2020,,,,,,
TB,2/15/20,Cryptophyta,56.7613,0.0003782,2,2020,,,,,,
TB,2/15/20,Cyanobacteria,239.4619,0.00159554,2,2020,,,,,,
TB,2/15/20,Cyanobacteria,14.1904,9.46E-05,2,2020,,,,,,
TB,2/15/20,Cyanobacteria,42.5711,0.00028365,2,2020,,,,,," 772,551.77 "
TB,2/15/20,Cyanobacteria,5.9864,3.99E-05,2,2020,,,,,,
TB,2/15/20,Cyanobacteria,74.4995,0.00049639,2,2020,,,,,,
TB,2/15/20,Euglenophyta,12396.6843,0.08259959,2,2020,,,,,,
TB,2/15/20,Pyrrhophyta,1021.7048,0.00680766,2,2020,,,,,,
TB,2/15/20,Miscellaneous,266.0689,0.00177283,2,2020,,,,,,
TB,2/15/20,Chlorophyta,66.1515,0.00044077,2,2020,,,,,,
TB,3/7/20,Chlorophyta,1479.3448,0.00405228,3,2020,,,,,,
TB,3/7/20,NA,29.2677,8.02E-05,3,2020,,,,,,
TB,3/7/20,Bacillariophyta,3231.8612,0.00885284,3,2020,,,,,,
TB,3/7/20,Bacillariophyta,18307.1047,0.05014755,3,2020,," 365,064.77 ",,,,
TB,3/7/20,Chrysophyta,42956.2622,0.11766751,3,2020,,,,,,
TB,3/7/20,Chrysophyta,50580.4382,0.13855196,3,2020,,,,,,
TB,3/7/20,Chlorophyta,48495.9692,0.1328421,3,2020,,,,,,
TB,3/7/20,Chlorophyta,1634.7277,0.00447791,3,2020,,,,,,
TB,3/7/20,Chlorophyta,681.1366,0.0018658,3,2020,,,,,,
TB,3/7/20,Chlorophyta,51.0851,0.00013993,3,2020,,,,,,
TB,3/7/20,Chlorophyta,620.8273,0.00170059,3,2020,,,,,,
TB,3/7/20,Cryptophyta,164688.881,0.45112236,3,2020,,,,,,
TB,3/7/20,Cyanobacteria,89.7985,0.00024598,3,2020,,,,,,
TB,3/7/20,Cyanobacteria,24.8332,6.80E-05,3,2020,,,,,,
TB,3/7/20,Cyanobacteria,388.0241,0.00106289,3,2020,,,,,,
TB,3/7/20,Euglenophyta,24418.7437,0.0668888,3,2020,,,,,,
TB,3/7/20,Pyrrhophyta,893.9917,0.00244886,3,2020,,,,,,
TB,3/7/20,Miscellaneous,383.1393,0.00104951,3,2020,,,,,,
TB,3/7/20,Miscellaneous,85.1421,0.00023322,3,2020,,,,,,
TB,3/7/20,Bacillariophyta,6024.1911,0.0165017,3,2020,,,,,,
