sample_id,sample_date,division,total_biovolume_cubic_um_per_ml_,relative_total_biovolume,month,year
SSB,1/8/19,Chlorophyta,897.9848,0.00046322,1,2019
SSB,1/8/19,Chrysophyta,57630.6015,0.02972817,1,2019
SSB,1/8/19,Chlorophyta,43148.7765,0.02225787,1,2019
SSB,1/8/19,Chlorophyta,1174637.245,0.60592489,1,2019
SSB,1/8/19,Chlorophyta,598.6565,0.00030881,1,2019
SSB,1/8/19,Chlorophyta,4714.4108,0.00243188,1,2019
SSB,1/8/19,Cryptophyta,114719.1008,0.0591767,1,2019
SSB,1/8/19,Cyanophyta,55254.0497,0.02850225,1,2019
SSB,1/8/19,Cyanophyta,1795.9665,0.00092643,1,2019
SSB,1/8/19,Cyanophyta,56.1225,2.90E-05,1,2019
SSB,1/8/19,Cyanophyta,478925.2364,0.2470488,1,2019
SSB,1/8/19,Pyrrhophyta,5321.3788,0.00274498,1,2019
SSB,1/8/19,Miscellaneous,886.0495,0.00045706,1,2019
SSB,2/16/19,Chrysophyta,88894.5939,0.29438168,2,2019
SSB,2/16/19,Haptophyta,853.7867,0.00282738,2,2019
SSB,2/16/19,Chlorophyta,11529.659,0.0381814,2,2019
SSB,2/16/19,Chlorophyta,463.5976,0.00153524,2,2019
SSB,2/16/19,Chlorophyta,16363.245,0.05418822,2,2019
SSB,2/16/19,Cryptophyta,13877.3106,0.04595584,2,2019
SSB,2/16/19,Cryptophyta,1892.0447,0.00626566,2,2019
SSB,2/16/19,Cyanophyta,56855.5773,0.18828187,2,2019
SSB,2/16/19,Cyanophyta,946.0252,0.00313284,2,2019
SSB,2/16/19,Cyanophyta,108645.0768,0.35978701,2,2019
SSB,2/16/19,Cyanophyta,1649.6212,0.00546285,2,2019
SSB,3/6/19,Chrysophyta,72326.1054,0.33171112,3,2019
SSB,3/6/19,Chlorophyta,8540.2552,0.0391684,3,2019
SSB,3/6/19,Chlorophyta,28806.3989,0.13211555,3,2019
SSB,3/6/19,Cyanophyta,46305.9474,0.21237418,3,2019
SSB,3/6/19,Cyanophyta,1396.8653,0.00640648,3,2019
SSB,3/6/19,Cyanophyta,53213.9152,0.24405638,3,2019
SSB,3/6/19,Cyanophyta,7449.9481,0.03416789,3,2019
SSB,3/9/19,Chrysophyta,114127.5426,0.25316146,3,2019
SSB,3/9/19,Chlorophyta,3831.3922,0.00849892,3,2019
SSB,3/9/19,Chlorophyta,8845.0433,0.01962037,3,2019
SSB,3/9/19,Chlorophyta,252233.3671,0.55951233,3,2019
SSB,3/9/19,Cryptophyta,9936.8397,0.02204222,3,2019
SSB,3/9/19,Cyanophyta,26630.79,0.05907329,3,2019
SSB,3/9/19,Cyanophyta,34505.8981,0.07654212,3,2019
SSB,3/9/19,Cyanophyta,698.4326,0.00154929,3,2019
