sample_id,sample_date,division,class_,order_,family,genus,species,coloniality,total_biovolume_cubic_um_per_ml_,relative_total_biovolume
SSB,1/8/19,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,897.9848,0.00046322
SSB,1/8/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,57630.6015,0.02972817
SSB,1/8/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,43148.7765,0.02225787
SSB,1/8/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,1174637.245,0.60592489
SSB,1/8/19,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,598.6565,0.00030881
SSB,1/8/19,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,4714.4108,0.00243188
SSB,1/8/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,114719.1008,0.0591767
SSB,1/8/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,55254.0497,0.02850225
SSB,1/8/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,1795.9665,0.00092643
SSB,1/8/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,NA,Cell-Nonmotile,56.1225,2.90E-05
SSB,1/8/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,478925.2364,0.2470488
SSB,1/8/19,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,5321.3788,0.00274498
SSB,1/8/19,Miscellaneous,NA,NA,NA,NA,NA,Cell-Motile,886.0495,0.00045706
SSB,2/16/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,88894.5939,0.29438168
SSB,2/16/19,Haptophyta,Prymnesiophyceae,Prymnesiales,Chromulinaceae,Chrysochromulina,parva,Cell-Motile,853.7867,0.00282738
SSB,2/16/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,11529.659,0.0381814
SSB,2/16/19,Chlorophyta,Chlorophyceae,Chlorococcales,Dictyosphaeriaceae,Mucidosphaerium,pulchellum,Colonial-Nonmotile,463.5976,0.00153524
SSB,2/16/19,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,16363.245,0.05418822
SSB,2/16/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,13877.3106,0.04595584
SSB,2/16/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,1892.0447,0.00626566
