"sample_id","sample_date","division","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2019-01-08,"Chlorophyta",897.9848,0.00046322,1,2019
"SSB",2019-01-08,"Chrysophyta",57630.6015,0.02972817,1,2019
"SSB",2019-01-08,"Chlorophyta",43148.7765,0.02225787,1,2019
"SSB",2019-01-08,"Chlorophyta",1174637.245,0.60592489,1,2019
"SSB",2019-01-08,"Chlorophyta",598.6565,0.00030881,1,2019
"SSB",2019-01-08,"Chlorophyta",4714.4108,0.00243188,1,2019
"SSB",2019-01-08,"Cryptophyta",114719.1008,0.0591767,1,2019
"SSB",2019-01-08,"Cyanobacteria",55254.0497,0.02850225,1,2019
"SSB",2019-01-08,"Cyanobacteria",1795.9665,0.00092643,1,2019
"SSB",2019-01-08,"Cyanobacteria",56.1225,2.895e-05,1,2019
"SSB",2019-01-08,"Cyanobacteria",478925.2364,0.2470488,1,2019
"SSB",2019-01-08,"Pyrrhophyta",5321.3788,0.00274498,1,2019
"SSB",2019-01-08,"Miscellaneous",886.0495,0.00045706,1,2019
"SSB",2019-02-16,"Chrysophyta",88894.5939,0.29438168,2,2019
"SSB",2019-02-16,"Haptophyta",853.7867,0.00282738,2,2019
"SSB",2019-02-16,"Chlorophyta",11529.659,0.0381814,2,2019
"SSB",2019-02-16,"Chlorophyta",463.5976,0.00153524,2,2019
"SSB",2019-02-16,"Chlorophyta",16363.245,0.05418822,2,2019
"SSB",2019-02-16,"Cryptophyta",13877.3106,0.04595584,2,2019
"SSB",2019-02-16,"Cryptophyta",1892.0447,0.00626566,2,2019
"SSB",2019-02-16,"Cyanobacteria",56855.5773,0.18828187,2,2019
"SSB",2019-02-16,"Cyanobacteria",946.0252,0.00313284,2,2019
"SSB",2019-02-16,"Cyanobacteria",108645.0768,0.35978701,2,2019
"SSB",2019-02-16,"Cyanobacteria",1649.6212,0.00546285,2,2019
"SSB",2019-03-06,"Chrysophyta",72326.1054,0.33171112,3,2019
"SSB",2019-03-06,"Chlorophyta",8540.2552,0.0391684,3,2019
"SSB",2019-03-06,"Chlorophyta",28806.3989,0.13211555,3,2019
"SSB",2019-03-06,"Cyanobacteria",46305.9474,0.21237418,3,2019
"SSB",2019-03-06,"Cyanobacteria",1396.8653,0.00640648,3,2019
"SSB",2019-03-06,"Cyanobacteria",53213.9152,0.24405638,3,2019
"SSB",2019-03-06,"Cyanobacteria",7449.9481,0.03416789,3,2019
"SSB",2019-03-09,"Chrysophyta",114127.5426,0.25316146,3,2019
"SSB",2019-03-09,"Chlorophyta",3831.3922,0.00849892,3,2019
"SSB",2019-03-09,"Chlorophyta",8845.0433,0.01962037,3,2019
"SSB",2019-03-09,"Chlorophyta",252233.3671,0.55951233,3,2019
"SSB",2019-03-09,"Cryptophyta",9936.8397,0.02204222,3,2019
"SSB",2019-03-09,"Cyanobacteria",26630.79,0.05907329,3,2019
"SSB",2019-03-09,"Cyanobacteria",34505.8981,0.07654212,3,2019
"SSB",2019-03-09,"Cyanobacteria",698.4326,0.00154929,3,2019
"SSB",2019-04-30,"Chlorophyta",798.2087,0.00018014,4,2019
"SSB",2019-04-30,"Bacillariophyta",300827.3278,0.0678916,4,2019
"SSB",2019-04-30,"Chrysophyta",158832.8655,0.03584587,4,2019
"SSB",2019-04-30,"Chrysophyta",53090.8063,0.01198169,4,2019
"SSB",2019-04-30,"Chlorophyta",62006.7343,0.01399386,4,2019
"SSB",2019-04-30,"Chlorophyta",3312579.554,0.74759271,4,2019
"SSB",2019-04-30,"Chlorophyta",2483.3047,0.00056044,4,2019
"SSB",2019-04-30,"Chlorophyta",443448.2569,0.10007871,4,2019
"SSB",2019-04-30,"Cryptophyta",9460.229,0.00213501,4,2019
"SSB",2019-04-30,"Cryptophyta",946.0223,0.0002135,4,2019
"SSB",2019-04-30,"Cyanobacteria",2594.1727,0.00058546,4,2019
"SSB",2019-04-30,"Cyanobacteria",2508.656,0.00056616,4,2019
"SSB",2019-04-30,"Cyanobacteria",66814.6218,0.01507892,4,2019
"SSB",2019-04-30,"Miscellaneous",12771.3114,0.00288227,4,2019
"SSB",2019-04-30,"Chlorophyta",1832.9492,0.00041367,4,2019
"SSB",2020-01-07,"Cyanobacteria",133.0348,0.00010786,1,2020
"SSB",2020-01-07,"Chrysophyta",23860.0916,0.01934565,1,2020
"SSB",2020-01-07,"Chlorophyta",107713.5591,0.08733365,1,2020
"SSB",2020-01-07,"Chlorophyta",798206.8535,0.64718238,1,2020
"SSB",2020-01-07,"Chlorophyta",5986.5528,0.00485387,1,2020
"SSB",2020-01-07,"Chlorophyta",1197.3131,0.00097078,1,2020
"SSB",2020-01-07,"Chlorophyta",8314.6488,0.00674148,1,2020
"SSB",2020-01-07,"Cryptophyta",5653.7192,0.00458401,1,2020
"SSB",2020-01-07,"Cyanobacteria",141650.588,0.11484963,1,2020
"SSB",2020-01-07,"Cyanobacteria",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Cyanobacteria",56.1225,4.55e-05,1,2020
"SSB",2020-01-07,"Cyanobacteria",92292.8841,0.07483064,1,2020
"SSB",2020-01-07,"Cyanobacteria",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Pyrrhophyta",19156.965,0.01553238,1,2020
"SSB",2020-01-07,"Miscellaneous",25542.6221,0.02070984,1,2020
"SSB",2020-01-31,"Chrysophyta",36491.9047,0.03119416,1,2020
"SSB",2020-01-31,"Chlorophyta",120192.1796,0.10274318,1,2020
"SSB",2020-01-31,"Chlorophyta",727070.6611,0.62151757,1,2020
"SSB",2020-01-31,"Chlorophyta",8514.2074,0.00727815,1,2020
"SSB",2020-01-31,"Chlorophyta",2527.6546,0.0021607,1,2020
"SSB",2020-01-31,"Chlorophyta",13192.5868,0.01127734,1,2020
"SSB",2020-01-31,"Cryptophyta",3083.8468,0.00263615,1,2020
"SSB",2020-01-31,"Cyanobacteria",115615.323,0.09883077,1,2020
"SSB",2020-01-31,"Cyanobacteria",354.7594,0.00030326,1,2020
"SSB",2020-01-31,"Cyanobacteria",74.83,6.397e-05,1,2020
"SSB",2020-01-31,"Cyanobacteria",20842.6143,0.01781677,1,2020
"SSB",2020-01-31,"Euglenophyta",101815.7163,0.08703453,1,2020
"SSB",2020-01-31,"Pyrrhophyta",12771.31,0.01091722,1,2020
"SSB",2020-01-31,"Chlorophyta",7283.6356,0.00622623,1,2020
"SSB",2020-02-14,"Chrysophyta",137520.9326,0.04458647,2,2020
"SSB",2020-02-14,"Chlorophyta",499619.3871,0.16198454,2,2020
"SSB",2020-02-14,"Chlorophyta",2322994.876,0.75315181,2,2020
"SSB",2020-02-14,"Chlorophyta",319.2818,0.00010352,2,2020
"SSB",2020-02-14,"Cryptophyta",1027.9489,0.00033328,2,2020
"SSB",2020-02-14,"Cyanobacteria",92295.8536,0.02992378,2,2020
"SSB",2020-02-14,"Cyanobacteria",798.2066,0.00025879,2,2020
"SSB",2020-02-14,"Cyanobacteria",15908.3093,0.00515773,2,2020
"SSB",2020-02-14,"Cyanobacteria",2305.9363,0.00074762,2,2020
"SSB",2020-02-14,"Euglenophyta",11574.0011,0.00375247,2,2020
"SSB",2020-03-06,"Cyanobacteria",36.0303,2.262e-05,3,2020
"SSB",2020-03-06,"Chrysophyta",14190.3435,0.00891034,3,2020
"SSB",2020-03-06,"Chlorophyta",178267.9846,0.11193731,3,2020
"SSB",2020-03-06,"Chlorophyta",1321608.843,0.82985929,3,2020
"SSB",2020-03-06,"Chlorophyta",1257.1737,0.0007894,3,2020
"SSB",2020-03-06,"Cyanobacteria",38248.4564,0.02401682,3,2020
"SSB",2020-03-06,"Cyanobacteria",177.3797,0.00011138,3,2020
"SSB",2020-03-06,"Cyanobacteria",310.4145,0.00019491,3,2020
"SSB",2020-03-06,"Cyanobacteria",487.7921,0.00030629,3,2020
"SSB",2020-03-06,"Cyanobacteria",17460.8159,0.01096393,3,2020
"SSB",2020-03-06,"Euglenophyta",11574.0011,0.0072675,3,2020
"SSB",2020-03-06,"Chlorophyta",8950.5616,0.0056202,3,2020
"SSB",2020-05-05,"Cyanobacteria",399.1044,2.812e-05,5,2020
"SSB",2020-05-05,"Chlorophyta",498.8805,3.516e-05,5,2020
"SSB",2020-05-05,"Pyrrhophyta",12849.3617,0.00090548,5,2020
"SSB",2020-05-05,"Bacillariophyta",508.8713,3.586e-05,5,2020
"SSB",2020-05-05,"Bacillariophyta",1445.5532,0.00010187,5,2020
"SSB",2020-05-05,"Chrysophyta",96539.5187,0.00680304,5,2020
"SSB",2020-05-05,"Chrysophyta",13029.3994,0.00091817,5,2020
"SSB",2020-05-05,"Haptophyta",640.34,4.512e-05,5,2020
"SSB",2020-05-05,"Chlorophyta",217280.2975,0.01531152,5,2020
