"sample_id","sample_date","division","class_","order_","family","genus","species","coloniality","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Chroococcales","Synechococcaceae","Cyanodictyon","planctonicum","Colonial-Nonmotile",133.0348,0.00010786,1,2020
"SSB",2020-01-07,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Motile",23860.0916,0.01934565,1,2020
"SSB",2020-01-07,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",107713.5591,0.08733365,1,2020
"SSB",2020-01-07,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",798206.8535,0.64718238,1,2020
"SSB",2020-01-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Oocystaceae","Oocystis","parva","Colonial-Nonmotile",5986.5528,0.00485387,1,2020
"SSB",2020-01-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",1197.3131,0.00097078,1,2020
"SSB",2020-01-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae",NA,NA,"Cell-Nonmotile",8314.6488,0.00674148,1,2020
"SSB",2020-01-07,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa","Cell-Motile",5653.7192,0.00458401,1,2020
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",141650.588,0.11484963,1,2020
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanothece","nidulans","Colonial-Nonmotile",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechocystis",NA,"Cell-Nonmotile",56.1225,4.55e-05,1,2020
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",92292.8841,0.07483064,1,2020
"SSB",2020-01-07,"Cyanophyta","Cyanophyceae","Nostocales","Nostocaceae","Pseudanabaena",NA,"Filament",1795.9696,0.00145616,1,2020
"SSB",2020-01-07,"Pyrrhophyta","Dinophyceae","Gymnodinales","Gymnodiniaceae","Gymnodinium","sp. 2","Cell-Motile",19156.965,0.01553238,1,2020
